Kdn.;Name;Name_2;Name_3;Straße;Plz;Ort;Land;Telefon;Telefax;E-Mail;WWW;Verbands- code;Verband;Vertreter- code;Vertretername;Tel. Vertreter;E-Mail-Vertreter;Verbandsnummer
18717;Hegener GmbH & Co. KG;Elektro - Maschinen;;Bundesstr. 110-111;59909;Bestwig-Velmede;Deutschland;02904/3095;02904/1407;info@maschinen-hegener.de;;36;EDE-Neu;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 216 062
21178;Lütteken GmbH;Beschläge + Eisenwaren;;Hochsauerlandstr. 52;59955;Winterberg-Siedlinghausen;Deutschland;02983 / 973711;02983 / 9737-37;s.kosberg@luetteken.de;www.luetteken.de;36;EDE-Neu;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 294 586
35010;Zimmer+Söhne GmbH;Masch.-Werkzeuge-Baubeschläge;;Gewerbestr. Süd 22;41812;Erkelenz;Deutschland;02431 / 2727;02431 / 74750;info@Zimmerundsoehne.de;;5;EDE-Verband;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 213 781
30204;Bauzentrum Stewes;;;Max-Eyth-Straße 9;46539;Dinslaken;Deutschland;02064-417246;02064-417280;juergen.orlowski@stewes.de;;23;Hagebaumarkt;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;Hagebau 157501
20281;Kersten Motorgeräte GmbH;;;Empeler Str 95;46459;Rees;Deutschland;02851 / 923445;02851 / 923424;info@kersten-motorgeraete.de;www.kersten-motorgeraete.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
12238;Becker-Jostes GmbH & Co. KG;;;Hauptstraße 74;59846;Sundern;Deutschland;02933 / 971318;02933 / 971340;info@becker-jostes.de;;4;NW;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;NW 6.035
27319;Otto Reinshagen e.K.;;;Heidter Str. 7;42369;Wuppertal;Deutschland;0202 / 461046;0202 / 461045;info@otto-reinshagen.de;;38;IRMS;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;I.R.M.S. 10263
18456;Franz Heift GmbH;.;;Beckersheide 14;40723;Hilden;Deutschland;02103 / 61070;02103 / 88580;heift.p@t-online.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
20364;Markus Koch;Hochdrucktechnik;;Regentenstraße 122;41061;Mönchengladbach;Deutschland;02161-6883117;;info@mk-airless.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
12270;BEV Baugeräte GmbH;;;Stapper Weg 10-14;41199;Mönchengladbach;Deutschland;02166 / 911950;02166 / 9119531;info@bev-mg.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
22182;Müllenhoff GmbH;Profi Markt;;Korbacher Str. 12-22;59964;Medebach;Deutschland;02982 / 92040;02982 / 920430;info@muellenhoff.de;;36;EDE-Neu;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 262 790
28079;SPÄNHOFF;Inh. Th.Blanke;;Zeche-Margarete-Str. 3;44289;Dortmund;Deutschland;0231 / 401668;0231 / 3953969;per Fax;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
18546;Pumpen Holzum GmbH;Pumpen u.Teichanlagen;;Empeler Str. 91;46459;Rees;Deutschland;02851 / 923651;02851 / 923630;Sandra.Stolpmann@holzum.de;www.holzum.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
18056;Hans Hund GmbH;Gebäudetechnik;;Heinrich-Hertz-Straße 10;46399;Bocholt;Deutschland;02871 / 27860;02871 / 278627;info@hans-hund.de;www.hans-hund.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
17079;Gierse;Elektromaschinen GmbH;;Xaveriusstrasse 3;59929;Brilon;Deutschland;02961 / 2239;02961 / 3813;info@gierse-elektromaschinen.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
27226;H. Scheffler;Hochdruck & Elektrotechnik;;Weidkamp 81a;45355;Essen;Deutschland;0201 /600372;0201 / 6959545;helmut.scheffler_hue@t-online.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
18303;Hox Land- und Gartentechnik;;;Mühlenstrasse 133;47918;Tönisvorst;Deutschland;02151 / 790540;02151 / 701645;hoxtechnik@arcor.de;www.hox.sabo-online.de;46;ILAFA;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;ILAFA
20136;KEG Maschinen-& Werkzeug-;handel GmbH;;Werner-von-Siemens-Str. 2a;41352;Korschenbroich;Deutschland;02161/641061;02161/640499;info@keg-werkzeuge.de;;4;NW;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;NW 6999
27118;Redwanz GmbH & Co.KG;;;Graf Zeppelin Str. 1;46149;Oberhausen;Deutschland;0208 / 9947622;0208 / 652782;Einkauf@redwanzgmbh.de;www.redwanzgmbh.de;5;EDE-Verband;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 200 093
20218;KoGaTec GmbH & Co.KG;Kommunal-u.Gartentechnik;;Krefelder Str. 29;40670;Meerbusch;Deutschland;02159 / 914990;02159 / 9149930;kogatec@web.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
20283;Johannes Kläsener;;;Gallwiestr 50;45892;Gelsenkirchen;Deutschland;0209 / 73009;0209 / 73000;schmiedeklaesener@t-online.de;;33;rheintec;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;Rheintec 10045
37022;Comuth Techn. Geräte;;;Berghauser Straße 72-74;42349;Wuppertal;Deutschland;0202 / 474749;0202 / 472173;xcomuth@aol.com;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
31664;Tekaath GmbH;Land-, Bau- und Kommunaltechnik;;Mussumer Ringstrasse 18;46395;Bocholt;Deutschland;02871 / 8721;02871 / 185139;engenhorst@tekaath.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
21104;Theo Lelgemann;;;Worringstr. 250;45289;Essen;Deutschland;0201 / 579467;0201 / 572955;per Fax;www.burgaltendorf.com/promotion/lelgeman;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
27108;Rathke Gartengeräte;;;Hagener Str. 199;44229;Dortmund;Deutschland;0231 / 731488;0231 / 736320;info@rathke-gartengeraete.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
31083;Agrartechnik Tendrich GmbH;;;Barbarastr. 79;46282;Dorsten;Deutschland;02362-22605;02362-40752;tenderich@t-online.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
34084;Wolf GmbH;;;Alte Heerstrasse 21;46459;Rees;Deutschland;02850-7685;02850-1584;info@wolf-haldern.de;;46;ILAFA;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;ILAFA
14245;EPS Elektromotoren und;Pumpenservice;;Zum Ostenfeld 13e;58739;Wickede-Ruhr;Deutschland;02377 / 805534;02377 / 605732;service@eps-wickede.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
18216;Winkens GmbH;;;Ferd.-Porsche-Str. 1a;52525;Heinsberg;Deutschland;02452-903130;02452-9031333;info@winkens-gmbh.de;www.winkens-gmbh.de;33;rheintec;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;Rheintec 10090
22015;H. Meurers;;;Sandkoul 4 + 10;52538;Selfkant-Havert;Deutschland;02456-1543;02456-3317;heinrich.meurers@t-online.de;;33;rheintec;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;Rheintec 10057
21116;Josef Lennartz GmbH & Co. KG;;;Vorster Str. 420;41169;Mönchengladbach;Deutschland;02161 / 636390;02161 / 6363929;info@lennartz-gartentechnik.de;www.lennartz-gartentechnik.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
11085;Detlev Adolphy;Garten- und Motorgeräte;;Rudolf-Diesel-Str. 9 a;40822;Mettmann;Deutschland;02104-76456;02104-145456;info@adolphy-gartengeraete.de;www.adolphy-gartengeraete.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
20306;Korfmann;;;Schulstrasse 77;45549;Sprockhövel;Deutschland;02324 / 971697;02324 / 971699;arnd.korfmann@t-online.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
27183;Oliver Rott;Technik für Garten, Bau und Landschaft;;Dahlener Straße 700;41239;Mönchengladbach;Deutschland;02166 / 950560;02166 / 950558;Info@oliver-rott.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
35109;F.W. Ziesak GmbH & Co KG;;;Mühlheimer Str. 25;46049;Oberhausen;Deutschland;0208 / 43770;0208 / 4377425;marktleitung@ziesak.de;;23;Hagebaumarkt;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;Hagebaumarkt: 123501
18312;Torsten Heckes;Schleiferei & Gartengeräte;;Bernsweg 30, Gewerbegeb.Genend;47445;Moers;Deutschland;02841 / 769580;02841 / 70739;info@heckes-moers.de;www.heckes-moers.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
29225;Premium-Parts Scheller GmbH;;;Herner Straße 109;44575;Castrop Rauxel;Deutschland;02305/922180;02305/922181;premium-parts@t-online.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
28018;Swertz GmbH;;;Weezer Str. 65 B;47574;Goch;Deutschland;02823 / 8930;02823 / 89345;klaus.wehr@swertz-bauzentrum.de;;23;Hagebaumarkt;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;Hagebau 125000
31054;Terhoeven GmbH & Co. KG;;;Hermesweg 1 - 7;47665;Sonsbeck-Hamb;Deutschland;02838 / 913816;02838 / 3812;verkauf@terhoeven-landtechnik.de;www.terhoeven-landtechnik.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
23090;Nettelbeck GmbH;Baugeräte Maschinen Werkzeuge;;Seiler Str. 42 - 44;42103;Wuppertal;Deutschland;0202 / 301026;0202 / 307986;info@nettelbeck-gmbh.de;;5;EDE-Verband;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 217 522
18606;Eisen-Hille GmbH & Co. KG;;;Pastor-Franke-Str. 13;45894;Gelsenkirchen-Buer;Deutschland;0209 / 3600631;0209 / 3600699;s.mulfinger@eisen-hille.de;;36;EDE-Neu;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 202 622
30205;Bauzentrum Stewes;;;Robert-Bosch-Str.;46485;Wesel;Deutschland;0281-46090-210;0281-46090280;uwe.schmidtke@stewes.de;;23;Hagebaumarkt;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;Hagebau 157501
16183;Maler-Einkauf;Rhein-Ruhr eG;;In der Hagenbeck 33;45143;Essen;Deutschland;0201-8626137;0201-8626153;;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
18282;Wassenberg GmbH;;;von Goldammer Str. 31;41515;Grevenbroich;Deutschland;02181-23990;02181-239929;Info@wassenberg-gmbh.de;www.wassenberg-gmbh.de;33;rheintec;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;Rheintec 10087
25137;AkzoNobel Farbe & Heimtex GmbH;;;Sittarder Str. 19;41748;Viersen;Deutschland;02162 / 265135 o.167;02162 / 265110;rainer.bertges@akzonobel.com;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
23076;Neef Eisenwaren;Inh.: Ingo Steffes e.K.;;Gereonsplatz 22;41747;Viersen;Deutschland;02162 / 32071;02162 / 16477;neef-eisenwaren@t-online.de;;40;NBP;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;NBP 581457 L 300/067
12233;CABERE GmbH;;;Handelsstraße 3;42929;Wermelskirchen;Deutschland;02196 / 3392;02196 / 1547;;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
22098;Karl Mölders;;;Niederend 51;47509;Rheurdt;Deutschland;02845/60149;02845/949845;karlmoelders@t-online.de;;46;ILAFA;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;ILAFA 11025
25151;Peschges-Motorgeräte;;;Ritterstr. 18-20;47805;Krefeld;Deutschland;02151-394803;02151-396332;peschges-motorgeraete@arcor.de;www.peschges-gartengeraete.de;33;rheintec;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;Rheintec D 10068
13058;Friedrich Delker;GmbH & Co.KG;;Manderscheidtstr. 20;45141;Essen;Deutschland;0201 / 89120;0201 / 8912100;vanessa.schenkewitz@delker.com;;4;NW;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;NW 6104
22181;Maler Einkauf für Lüdenscheid;und Umgegend eG;;Am Lehmberg 10;58507;Lüdenscheid;Deutschland;02351 / 9894944;02351/9894957;skorupa@meg-luedenscheid.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
35024;J.W.Zander GmbH & Co.;;;Nünningstraße 1;45141;Essen;Deutschland;0201 / 1704230;0201/1704234;r.kutschat@zander-gruppe.de;www.zander-gruppe.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
21087;Langowski;.;;Mozartstr. 20;46240;Bottrop;Deutschland;02041 / 989819;02041 / 989849;info@langowski-bottrop.de;www.langowski-bottrop.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
18969;HKL Baumaschinen GmbH;;;Bünnerhelfstr. 20;44379;Dortmund;Deutschland;;;;;36;EDE-Neu;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 117 676
37038;Clever KG;;;Kölner Str. 58 / 62;58566;Kierspe;Deutschland;02359 / 2324;02359 / 1767;info@clever-kierspe.de;;5;EDE-Verband;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 204 528
31049;Theunissen & Sohn;;;Wardter Str. 2;46509;Xanten;Deutschland;02801 / 705040;02801 / 705041;info@theunissen.de;www.theunissen.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
12435;Michael von den Bergen;;;Frankfurter Strasse 32;58095;Hagen;Deutschland;02331/925007;02331/925007;vdb.werkstattservice@arcor.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
17170;Carl Grafweg KG;Werkmarkt;;Schwertstraße 6-10;42651;Solingen;Deutschland;0212 / 222680;0212 / 2226848;info@grafweg.de;www.grafweg.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
29222;Schweizer & vom Hofe;Inh. Andreas Weber e.K.;;Hoeftstraße 25;42103;Wuppertal;Deutschland;0202 / 303182;0202/  305316;schweizervomhofe@aol.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
37120;Claus & Mathes GmbH;Technikcentrum;;Siemensstraße 4;40789;Monheim am Rhein;Deutschland;;02173 / 32213;monheim@claus-mathes.de;www.claus-mathes.de;39;HLT;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;HLT 21215
34006;Webo Motorgeräte GmbH;;;Hattinger Str. 386 a;44795;Bochum;Deutschland;0234 / 799099;0234 / 795202;info@webo-motorgeraete.de;www.webo-motorgeräte.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
23147;Reinigungstechnik RUMP;;;Kalthofer Feld 23;58640;Iserlohn;Deutschland;;02371/9558859;info@reinigungstechnik-rump.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
19090;Reiner Imdahl Motorgeräte GmbH;;;Otto-Brenner-Str. 17;52353;Düren;Deutschland;02421-91200;02421-912015;info@imdahl.de;www.imdahl.de;33;rheintec;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;Rheintec 10039
12226;Bartsch + Feikes;Werkzeuge + Maschinen;;Weihersfeld 18;41379;Brüggen;Deutschland;02163/999712;02163 / 999777;o.feikes@bartsch-feikes.de;;5;EDE-Verband;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 218 570
17210;Landtechnik Grotwinkel;;;Niephauser Str. 18;47475;Kamp-Lintfort;Deutschland;02841-780052;02841-780051;grotwinkellandtechnik@freenet.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
18018;HKL Baumaschinen GmbH;;;Leipziger Str. 63-65;42109;Wuppertal;Deutschland;;;;;36;EDE-Neu;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 117 676
12370;Kenter-Broda Boden-Reinigungsmaschinen;GmbH;;Adolf-Dembach-Str. 8a;47829;Krefeld;Deutschland;02151 / 729150;02151 / 7291599;info@broda-brm.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
13033;Klaus Delvos GmbH;;;Flurstraße 79;40235;Düsseldorf;Deutschland;0211/661687+914460;0211/9144617;;;46;ILAFA;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;ILAFA 11020
34038;Weinreich Industriekühlung GmbH;;;Hohe Steinert 7;58509;Lüdenscheid;Deutschland;02351 / 12071;02351 / 929250;info@weinreich.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
18976;HKL Baumaschinen GmbH;;;Econova-Allee 25;45356;Essen;Deutschland;0201 / 364803;0201 / 3548040;;;36;EDE-Neu;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 117 676
16101;J. Flamme;Motorgeräte;;Oedenburgstr. 19;58135;Hagen;Deutschland;02331 / 40 2142;02331 / 40 65 51;Per Fax;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;I.R.M.S. 10222
13014;Werkzeug Döring;Handels GmbH;;Dahler Straße 65;42389;Wuppertal;Deutschland;0202 / 641061;0202 / 6410633;info@werkzeug-doering.de;www.werkzeug-doering.de;4;NW;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;NW 6110
21102;Lindscheidt Elektromaschinen;;;Rheinische Strasse 7;58332;Schwelm;Deutschland;02336 / 13043;02336 / 14054;lindscheidt@t-online.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
31108;Hans H. Thomas;Stahlhandel;;Kermisdahlstr. 8;47533;Kleve;Deutschland;02821 / 17644;02821 / 17694;stahlhandelthomas_maas@yahoo.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
25244;PROSOL Lacke & Farben;GmbH & Co.;;Otto-Hausmann Ring 107;42115;Wuppertal;Deutschland;0202 / 9467520;0202 / 94675220;wuppertal@prosol-farben.de;www.prosol.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
20433;Vladimir Knezevic;Verkauf und Vermietung;;Seilerstr. 4;44147;Dortmund;Deutschland;0231 / 7284024;0231 / 7284025;knezevic@versanet.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
35023;J.W.Zander GmbH & Co.;;;Martener Hellweg 39;44379;Dortmund;Deutschland;0231 / 6186189;0231 / 61864202;l.roettlingsberger@zander-gruppe.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
31033;TIB  Lackmann GmbH;Technischer Industriebedarf;;Heegstraße 42-44;45356;Essen 11;Deutschland;0201 / 866160;0201 / 669663;mail@tib-gmbh.de;www.tib-gmbh.de;5;EDE-Verband;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 216 119
34045;Wollschläger GmbH & Co. KG;;;Industriestr. 38 c;44894;Bochum;Deutschland;0234/9211-0;0234/9211-440;r.jacobs@wollschlaeger.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
19041;Rudolf Krämer Eisenwaren GmbH;---> Kdn. 20273;;Asterlager Str. 61;47228;Duisburg;Deutschland;02065 /690653;02065 / 690650;Wrobel@eisen-kraemer.de;www.kraemer-duisburg.de;47;Krämer, Duisburg;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;Krämer Einkauf+Marketing Gruppe (KEM)
35013;Motorgeräte Zimmermann;;;Bahnhofstr.45;58840;Plettenberg;Deutschland;02391 / 51501;02391 / 54267;motorgeraete.zimmermann@web.de;;38;IRMS;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;I.R.M.S. 115 - 115
22112;Merks GbR;;;Robert Bosch Str. 23;40668;Meerbusch;Deutschland;02150 / 3313;02150 / 799689;giemsa@web.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
